haskell-old-time 1.1.0.4-4
haskell-onetuple 0.4.2-21
haskell-only 0.1-24
haskell-optparse-applicative 0.17.1.0-85
haskell-ordered-containers 0.2.4-25
haskell-os-string 2.0.7-28
haskell-pandoc 3.1.12.1-61
haskell-pandoc-lua-engine 0.2.1.2-142
haskell-pandoc-lua-marshal 0.2.7-43
haskell-pandoc-server 0.1.0.5-163
haskell-pandoc-types 1.23.1-68
haskell-pem 0.2.4-311
haskell-pretty-show 1.10-17
haskell-prettyprinter 1.7.1-208
haskell-primitive 0.8.0.0-15
haskell-psqueues 0.2.8.1-13
haskell-quickcheck 2.14.3-137
haskell-random 1.2.1.2-79
haskell-recv 0.1.0-55
haskell-regex-base 0.94.0.3-2
haskell-regex-tdfa 1.3.2.4-1
haskell-resourcet 1.2.6-76
haskell-safe 0.3.21-30
haskell-safe-exceptions 0.1.7.4-46
haskell-scientific 0.3.7.0-138
haskell-semialign 1.3-27
haskell-semigroupoids 6.0.1-10
haskell-servant 0.20.2-45
haskell-servant-server 0.20.2-62
haskell-sha 1.6.4.4-21
haskell-simple-sendfile 0.2.32-91
haskell-singleton-bool 0.1.7-7
haskell-skylighting 0.14.1.1-49
haskell-skylighting-core 0.14.1.1-47
haskell-skylighting-format-ansi 0.1-181
haskell-skylighting-format-blaze-html 0.1.1.3-35
haskell-skylighting-format-context 0.1.0.2-145
haskell-skylighting-format-latex 0.1-180
haskell-socks 0.6.1-262
haskell-some 1.0.5-3
haskell-sop-core 0.5.0.2-3
haskell-split 0.2.5-31
haskell-splitmix 0.1.0.5-73
haskell-statevar 1.2.2-4
haskell-streaming-commons 0.2.3.0-7
haskell-strict 0.5-48
haskell-syb 0.7.2.4-47
haskell-tagged 0.8.9-2
haskell-tagsoup 0.14.8-251
haskell-temporary 1.3-668
haskell-texmath 0.12.8.7-36
haskell-text-conversions 0.3.1.1-88
haskell-text-icu 0.8.0.5-28
haskell-text-short 0.1.6-24
haskell-th-abstraction 0.5.0.0-1
haskell-th-compat 0.1.6-7
haskell-th-lift 0.8.4-4
haskell-th-lift-instances 0.1.20-73
haskell-these 1.2-48
haskell-time-compat 1.9.6.1-122
haskell-time-manager 0.0.1-66
haskell-tls 1.9.0-19
haskell-toml-parser 2.0.1.0-4
haskell-transformers-base 0.4.6-127
haskell-transformers-compat 0.7.2-3
haskell-type-equality 1.0.1-2
haskell-typed-process 0.2.12.0-7
