libfm-extra 1.3.2-1
libfm-gtk2 1.3.2-1
libfontenc 1.1.8-1
libfreeaptx 0.1.1-1
libfreehand 0.1.2-4
libftdi 1.5-6
libgcrypt 1.10.3-1
libgexiv2 0.14.2-2
libgirepository 1.80.1-3
libgit2 1:1.8.1-1
libglvnd 1.7.0-1
libgme 0.6.3-4
libgnomekbd 1:3.28.1-1
libgovirt 2:0.3.9-1
libgpg-error 1.49-1
libgphoto2 2.5.31-1
libgpod 0.8.3-15
libgsf 1.14.52-1
libgssglue 0.9-1
libgtop 2.41.3-2
libgudev 238-1
libguestfs 1.52.0-6
libgusb 0.4.9-1
libgxps 0.3.2-4
libhandy 1.8.3-1
libheif 1.17.6-5
